# columns = TERM LEMMA POS PROB
# identifier = dumas1840b-06
# creator = Dumas, Alexandre
# created = 1841
# isPartOf = Le maître d’armes
# title = V

↵↵↵	↵↵↵	PUNCTstruct
V.	V.	PROPN
↵↵	↵↵	PUNCTstruct
lorsque	lorsque	SCONJ
elle	elle	PRON
me	me	PRON
vit	vivre	VERB
entrer	entrer	VERB
,	,	PUNCTclause
elle	elle	PRON
me	me	PRON
salua	saluer	VERB
de	de	DET
la	le	AUX
tête	tête	NOUN
avec	avec	ADP
cette	ce	DET
familiarité	familiarité	NOUN
gracieuse	gracieux	ADJ
qui	qui	PRON
ne	ne	ADV
appartient	appartenir	VERB
que	que	ADV
à	à	ADP
nos	nos	DET
Françaises	français	NOUN
;	;	PUNCTclause
puis	puis	CCONJ
,	,	PUNCTclause
me	me	PRON
tendant	tendre	VERB
la	le	DET
main	main	NOUN
,	,	PUNCTclause
elle	elle	PRON
me	me	PRON
fit	faire	AUX
asseoir	asseoir	VERB
,	,	PUNCTclause
comme	comme	ADP
la	le	DET
veille	veille	NOUN
,	,	PUNCTclause
auprès de	auprès de	ADP
elle	elle	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	NOUN
bien	bien	ADV
!	!	PUNCTsent
me	me	PRON
dit	dire	VERB
elle	elle	PRON
,	,	PUNCTclause
je	je	PRON
me	me	PRON
suis	être	AUX
occupée	occuper	VERB
de	de	DET
votre	votre	ADJ
affaire	affaire	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	NOUN
!	!	PUNCTsent
lui	lui	PRON
répondis	répondre	VERB
je	je	PRON
avec	avec	ADP
une	un	DET
expression	expression	NOUN
qui	qui	PRON
la	le:PRON	PRON
fit	faire	AUX
sourire	sourire	VERB
,	,	PUNCTclause
ne	ne	ADV
parlons	parler	VERB
pas	pas	ADV
de	de	DET
moi	moi	PRON
,	,	PUNCTclause
parlons	parler	VERB
de	de	DET
vous	vous	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Comment	comment	ADV
,	,	PUNCTclause
de	de	DET
moi	moi	PRON
?	?	PUNCTsent
est-ce que	est-ce que	ADV
il	il	PRON
se	se	PRON
agit	agir	VERB
de	de	DET
moi	moi	PRON
dans	dans	ADP
tout	tout	ADJ
ceci	ceci	PRON
?	?	PUNCTsent
Est	être	AUX
ce	ce	DET
moi	moi	PRON
qui	qui	PRON
