# columns = TERM LEMMA POS PROB
# identifier = balzac1841FC03-49
# creator = Balzac, Honoré de
# created = 1841
# modified = 1842
# isPartOf = Mémoires de deux jeunes mariées. Études de mœurs. Scènes de la vie privée
# title = XLIX.  Marie-Gaston à Daniel d'Arthez

↵↵↵	↵↵↵	PUNCTstruct
XLIX	XLIX	NUM
Marie-Gaston	Marie-Gaston	PROPN
à	à	ADP
Daniel	Daniel	PROPN
de	de	DET
Arthez	Arthez	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
octobre	octobre	NOUN
1833	1833	NUM
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mon	mon	DET
cher	cher	NOUN
Daniel	Daniel	PROPN
,	,	PUNCTclause
je	je	PRON
ai	avoir	VERB
besoin	besoin	NOUN
de	de	DET
deux	deux	NUM
témoins	témoin	NOUN
pour	pour	ADP
mon	mon	DET
mariage	mariage	NOUN
;	;	PUNCTclause
je	je	PRON
vous	vous	PRON
prie	prier	VERB
de	de	DET
venir	venir	NOUN
chez	chez	ADP
moi	moi	PRON
demain	demain	ADV
soir	soir	NOUN
en	en	ADP
vous	vous	PRON
faisant	faire	AUX
accompagner	accompagner	VERB
de	de	DET
notre	notre	NOUN
ami	ami	ADJ
,	,	PUNCTclause
le	le	DET
bon	bon	ADJ
et	et	CCONJ
grand	grand	ADJ
Joseph	Joseph	PROPN
Bridau	Bridau	PROPN
.	.	PUNCTsent
l'	le	DET
intention	intention	NOUN
de	de	DET
celle	celle	PRON
qui	qui	PRON
sera	être	AUX
ma	mon	DET
femme	femme	NOUN
est	être	AUX
de	de	DET
vivre	vivre	NOUN
loin	loin	ADV
du	du	ADP_DET
monde	monde	NOUN
et	et	CCONJ
parfaitement	parfaitement	ADV
ignorée	ignorer	VERB
:	:	PUNCTclause
elle	elle	PRON
a	avoir	AUX
pressenti	pressentir	VERB
le	le	DET
plus	plus	ADV
cher	cher	ADJ
de	de	DET
mes	mon	NOUN
vœux	vœu	NOUN
.	.	PUNCTsent
Vous	vous	PRON
ne	ne	ADV
avez	avoir	VERB
rien	rien	PRON
su	savoir	VERB
de	de	DET
mes	mon	NOUN
amours	amour	ADJ
,	,	PUNCTclause
vous	vous	PRON
qui	qui	PRON
me	me	PRON
avez	avoir	AUX
adouci	adoucir	VERB
les	le	DET
misères	misère	NOUN
de	de	DET
une	un	PRON
vie	vie	NOUN
pauvre	pauvre	ADJ
;	;	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
vous	vous	PRON
le	le:PRON	PRON
devinez	deviner	VERB
,	,	PUNCTclause
ce	ce	DET
secret	secret	NOUN
absolu	absolu	ADJ
fut	être	AUX
une	un	DET
nécessité	nécessité	NOUN
.	.	PUNCTsent
Voilà	voilà	VERB
pourquoi	pourquoi	ADV
,	,	PUNCTclause
depuis	depuis	ADP
un	un	DET
an	an	NOUN
,	,	PUNCTclause
nous	nous	PRON
nous	nous	PRON
sommes	être	AUX
si	si	ADV
peu	peu	ADV
vus	vu	VERB
.	.	PUNCTsent
Le	le	DET
lendemain	lendemain	NOUN
de	de	DET
mon	mon	NOUN
mariage	mariage	NOUN
,	,	PUNCTclause
nous	nous	PRON
serons	être	AUX
séparés	séparer	VERB
pour	pour	ADP
longtemps	longtemps	ADV
.	.	PUNCTsent
Daniel	Daniel	PROPN
,	,	PUNCTclause
vous	vous	PRON
avez	avoir	VERB
l'	le	DET
âme	âme	NOUN
faite	faire	AUX
à	à	ADP
me	me	PRON
comprendre	comprendre	VERB
:	:	PUNCTclause
l'	le	DET
amitié	amitié	NOUN
subsistera	subsister	VERB
sans	sans	ADP
l'	le	DET
ami	ami	NOUN
.	.	PUNCTsent
Peut-être	peut-être	ADV
aurai	avoir	AUX
je	je	PRON
parfois	parfois	ADV
besoin	besoin	NOUN
de	de	DET
vous	vous	PRON
;	;	PUNCTclause
mais	mais	CCONJ
je	je	PRON
ne	ne	ADV
vous	vous	PRON
verrai	voir	VERB
point	point	ADV
,	,	PUNCTclause
chez	chez	ADP
moi	moi	PRON
du	du	ADP_DET
moins	moins	ADV
.	.	PUNCTsent
Elle	elle	PRON
est	être	AUX
encore	encore	ADV
allée	aller	VERB
au-devant	au-devant	ADV
de	de	DET
nos	nos	NOUN
souhaits	souhait	VERB
en	en	ADP
ceci	ceci	PRON
.	.	PUNCTsent
Elle	elle	PRON
me	me	PRON
a	avoir	AUX
fait	faire	AUX
le	le	DET
sacrifice	sacrifice	NOUN
de	de	DET
l'	le	NOUN
amitié	amitié	VERB
que	que	SCONJ
elle	elle	PRON
a	avoir	VERB
pour	pour	ADP
une	un	DET
amie	ami	NOUN
de	de	DET
enfance	enfance	NOUN
qui	qui	PRON
pour	pour	ADP
elle	elle	PRON
est	être	AUX
une	un	DET
véritable	véritable	ADJ
sœur	sœur	NOUN
;	;	PUNCTclause
je	je	PRON
ai	avoir	AUX
dû	devoir	VERB
lui	lui	PRON
immoler	immoler	VERB
mon	mon	DET
ami	ami	NOUN
.	.	PUNCTsent
Ce	ce	PRON
que	que	SCONJ
je	je	PRON
vous	vous	PRON
dis	dire	VERB
ici	ici	ADV
vous	vous	PRON
fera	faire	AUX
sans doute	sans doute	ADV
deviner	deviner	VERB
non	non	INTJ
pas	pas	ADV
une	un	DET
passion	passion	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
un	un	DET
amour	amour	NOUN
entier	entier	ADJ
,	,	PUNCTclause
complet	complet	ADJ
,	,	PUNCTclause
divin	divin	ADJ
,	,	PUNCTclause
fondé	fonder	VERB
sur	sur	ADP
une	un	DET
intime	intime	ADJ
connaissance	connaissance	NOUN
entre	entre	ADP
les	le	DET
deux	deux	NUM
êtres	être	NOUN
qui	qui	PRON
se	se	PRON
lient	lier	VERB
ainsi	ainsi	ADV
.	.	PUNCTsent
Mon	mon	DET
bonheur	bonheur	NOUN
est	être	AUX
pur	pur	ADJ
,	,	PUNCTclause
infini	infini	ADJ
;	;	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
comme	comme	ADP
il	il	PRON
est	être	AUX
une	un	DET
loi	loi	NOUN
secrète	secret	ADJ
qui	qui	PRON
nous	nous	PRON
défend	défendre	VERB
de	de	DET
avoir	avoir	AUX
une	un	DET
félicité	félicité	NOUN
sans	sans	ADP
mélange	mélange	NOUN
,	,	PUNCTclause
au	au	ADP_DET
fond	fond	NOUN
de	de	DET
mon	mon	NOUN
âme	âme	NOUN
et	et	CCONJ
ensevelie	ensevelir	VERB
dans	dans	ADP
le	le	DET
dernier	dernier	ADJ
repli	repli	NOUN
,	,	PUNCTclause
je	je	PRON
cache	cacher	VERB
une	un	DET
pensée	pensée	NOUN
par	par	ADP
laquelle	laquelle	PRON
je	je	PRON
suis	être	AUX
atteint	atteindre	VERB
tout	tout	ADJ
seul	seul	ADJ
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
elle	elle	PRON
ignore	ignorer	VERB
.	.	PUNCTsent
Vous	vous	PRON
avez	avoir	VERB
trop	trop	ADV
souvent	souvent	ADV
aidé	aider	VERB
ma	mon	DET
constante	constante	NOUN
misère	misère	NOUN
pour	pour	ADP
ignorer	ignorer	VERB
l'	le	DET
horrible	horrible	ADJ
situation	situation	NOUN
dans	dans	ADP
laquelle	laquelle	PRON
je	je	PRON
étais	être	AUX
.	.	PUNCTsent
Où	où	ADV
puisai	puiser	NOUN
je	je	PRON
le	le	DET
courage	courage	NOUN
de	de	DET
vivre	vivre	NOUN
lorsque	lorsque	SCONJ
l'	le	DET
espérance	espérance	NOUN
se	se	PRON
éteignait	éteindre	VERB
si	si	ADV
souvent	souvent	ADV
?	?	PUNCTsent
dans	dans	ADP
votre	votre	DET
passé	passé	ADP
,	,	PUNCTclause
mon	mon	DET
ami	ami	NOUN
,	,	PUNCTclause
chez	chez	ADP
vous	vous	PRON
où	où	ADV
je	je	PRON
trouvais	trouver	VERB
tant de	tant de	DET
consolations	consolation	NOUN
et	et	CCONJ
de	de	DET
secours	secours	NOUN
délicats	délicat	ADJ
.	.	PUNCTsent
Enfin	enfin	ADV
,	,	PUNCTclause
mon	mon	DET
cher	cher	NOUN
,	,	PUNCTclause
mes	mon	DET
écrasantes	écrasant	ADJ
dettes	dette	NOUN
,	,	PUNCTclause
elle	elle	PRON
les	le:PRON	PRON
a	avoir	AUX
payées	payer	VERB
.	.	PUNCTsent
Elle	elle	PRON
est	être	AUX
riche	riche	ADJ
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
ne	ne	ADV
ai	avoir	VERB
rien	rien	PRON
.	.	PUNCTsent
Combien	combien	ADV
de	de	DET
fois	fois	NOUN
ne	ne	ADV
ai	avoir	AUX
je	je	PRON
pas	pas	ADV
dit	dire	VERB
dans	dans	ADP
mes	mon	DET
accès	accès	NOUN
de	de	DET
paresse	paresser	VERB
:	:	PUNCTclause
—	—	PUNCTclause
ha	ha	NOUN
!	!	PUNCTsent
si	si	SCONJ
quelque	quelque	DET
femme	femme	NOUN
riche	riche	ADJ
voulait	vouloir	VERB
de	de	DET
moi	moi	PRON
.	.	PUNCTsent
hé	hé	VERB
!	!	PUNCTsent
bien	bien	ADV
,	,	PUNCTclause
en présence	en présence	ADV
du	du	ADP_DET
fait	faire	AUX
,	,	PUNCTclause
les	le	DET
plaisanteries	plaisanterie	NOUN
de	de	DET
la	le	AUX
jeunesse	jeunesse	NOUN
insouciante	insouciant	ADJ
,	,	PUNCTclause
le	le	DET
parti-pris	parti-pris	NOUN
des	un	ADP_DET
