# columns = TERM LEMMA POS PROB
# identifier = dumas1852b-63
# creator = Dumas, Alexandre
# created = 1852
# isPartOf = Olympe de Clèves
# title = LXIII. L’amour de l’ombre

↵↵↵	↵↵↵	PUNCTstruct
Lxiii	Lxiii	PROPN
.	.	PUNCTsent
l'	le	DET
amour	amour	NOUN
de	de	DET
l'	le:PRON	PRON
ombre	ombre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
On	on	PRON
se	se	PRON
rappelle	rappeler	VERB
que	que	SCONJ
,	,	PUNCTclause
sous prétexte de	sous prétexte de	ADP
mauvaise	mauvais	ADJ
santé	santé	NOUN
,	,	PUNCTclause
Pecquigny	Pecquigny	PROPN
avait	avoir	AUX
demandé	demander	VERB
à	à	ADP
Sa	son	DET
Majesté	majesté	NOUN
Louis	Louis	PROPN
XV	XV	NUM
,	,	PUNCTclause
au moment où	au moment où	ADP
l'on	on	PRON
passait	passer	VERB
de	de	DET
la	la	PROPN
salle	salle	NOUN
de	de	DET
spectacle	spectacle	NOUN
au	au	ADP_DET
salon	salon	NOUN
,	,	PUNCTclause
la	le	DET
permission	permission	NOUN
de	de	DET
quitter	quitter	NOUN
Rambouillet	Rambouillet	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
On	on	PRON
se	se	PRON
rappelle	rappeler	VERB
encore	encore	ADV
que	que	SCONJ
cette	ce	DET
permission	permission	NOUN
,	,	PUNCTclause
le	le	DET
roi	roi	NOUN
la	le:PRON	PRON
lui	lui	PRON
avait	avoir	AUX
gracieusement	gracieusement	ADV
accordée	accorder	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Pecquigny	Pecquigny	PROPN
était	être	AUX
donc	donc	ADV
revenu	revenir	VERB
à	à	ADP
Paris	Paris	PROPN
sans	sans	ADP
perdre	perdre	VERB
un	un	DET
instant	instant	NOUN
;	;	PUNCTclause
il	il	PRON
avait	avoir	AUX
quitté	quitter	VERB
le	le	DET
roi	roi	NOUN
à	à	ADP
dix	dix	NUM
heures	heure	NOUN
;	;	PUNCTclause
à	à	ADP
minuit	minuit	NOUN
un	un	NUM
quart	quart	NOUN
il	il	PRON
était	être	AUX
à	à	ADP
l'	le	DET
hôtel	hôtel	NOUN
de	de	DET
Nesle	Nesle	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
On	on	PRON
comprend	comprendre	VERB
que	que	SCONJ
après	après	ADP
ce	ce	DET
qui	qui	PRON
se	se	PRON
était	être	AUX
passé	passé	ADP
le	le	DET
matin	matin	NOUN
,	,	PUNCTclause
ce	ce	DET
ne	ne	NOUN
était	être	AUX
point	point	ADV
à	à	ADP
l'	le	DET
hôtel	hôtel	NOUN
de	de	DET
Nesle	Nesle	PROPN
que	que	SCONJ
il	il	PRON
fallait	falloir	VERB
se	se	PRON
adresser	adresser	VERB
pour	pour	ADP
trouver	trouver	VERB
Mailly	Mailly	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mailly	Mailly	PROPN
ne	ne	ADV
était	être	AUX
donc	donc	ADV
pas	pas	ADV
à	à	ADP
l'	le	DET
hôtel	hôtel	NOUN
de	de	DET
Nesle	Nesle	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Pecquigny	Pecquigny	PROPN
insista	insister	VERB
tellement	tellement	ADV
près de	près de	ADP
un	un	DET
valet de chambre	valet de chambre	NOUN
,	,	PUNCTclause
que	que	SCONJ
celui	celui	PRON
,	,	PUNCTclause
qui	qui	PRON
connaissait	connaître	VERB
le	le	DET
duc	duc	NOUN
pour	pour	ADP
un	un	DET
des	un	NOUN
amis	ami	NOUN
de	de	DET
son	son	NOUN
maître	maître	NOUN
,	,	PUNCTclause
lui	lui	PRON
dit	dire	VERB
tout	tout	ADJ
bas	bas	ADJ
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
M.	M.	PUNCT
le	le	DET
duc	duc	NOUN
tient	tenir	VERB
à	à	ADP
voir	voir	AUX
M.	M.	PROPN
le	le	DET
comte	comte	NOUN
sans	sans	ADP
retard	retard	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
je	je	PRON
y	y	PRON
tiens	tenir	VERB
tellement	tellement	ADV
,	,	PUNCTclause
dit	dire	VERB
Pecquigny	Pecquigny	PROPN
,	,	PUNCTclause
que	que	SCONJ
je	je	PRON
donnerais	donner	VERB
vingt-cinq	vingt-cinq	NUM
louis	louis	NOUN
à	à	ADP
celui	celui	PRON
qui	qui	PRON
me	me	PRON
dira	dire	VERB
où	où	ADV
je	je	PRON
puis	puis	CCONJ
le	le:PRON	PRON
trouver	trouver	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
M.	M.	PUNCT
le	le	DET
duc	duc	NOUN
me	me	PRON
ôte	ôter	VERB
le	le	DET
mérite	mérite	NOUN
de	de	DET
lui	lui	PRON
rendre service	rendre service	VERB
gratis	gratis	DET
,	,	PUNCTclause
dit	dire	VERB
le	le	DET
valet	valet	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Tu	tu	ADJ
allais	aller	NOUN
donc	donc	ADV
me	me	PRON
dire	dire	VERB
où	où	ADV
il	il	PRON
était	être	AUX
?	?	PUNCTsent
demanda	demander	VERB
Pecquigny	Pecquigny	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
sans doute	sans doute	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	NOUN
bien	bien	ADV
!	!	PUNCTsent
dis	dire	VERB
,	,	PUNCTclause
mon	mon	DET
ami	ami	NOUN
,	,	PUNCTclause
et	et	CCONJ
suppose	supposer	VERB
que	que	SCONJ
je	je	PRON
te	te	VERB
donne	donner	VERB
ces	ce	DET
vingt-cinq	vingt-cinq	NUM
louis	louis	NOUN
pour	pour	ADP
autre chose	autre chose	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
supposé	supposer	VERB
.	.	PUNCTsent
M.	M.	PROPN
le	le	DET
comte	comte	NOUN
est	être	AUX
à	à	ADP
sa	son	DET
petite	petit	ADJ
maison	maison	NOUN
de	de	DET
la	le:PRON	PRON
Grange-Batelière	Grange-Batelière	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Bon	bon	ADJ
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
la	le	AUX
connaissez	connaître	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
.	.	PUNCTsent
ce	ce	PRON
est	être	AUX
bon	bon	ADJ
,	,	PUNCTclause
mon	mon	DET
ami	ami	NOUN
,	,	PUNCTclause
voilà	voilà	VERB
tout	tout	ADJ
ce	ce	DET
que	que	SCONJ
je	je	PRON
voulais	vouloir	PRON
savoir	savoir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
Pecquigny	Pecquigny	PROPN
fit	faire	AUX
le	le	DET
grand	grand	ADJ
tour	tour	NOUN
par	par	ADP
le	le	DET
pont	pont	NOUN
Neuf	Neuf	PROPN
,	,	PUNCTclause
les	le	DET
guichets	guichet	NOUN
du	du	ADP_DET
Louvre	Louvre	PROPN
fermant	fermer	VERB
à	à	ADP
minuit	minuit	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mailly	Mailly	PROPN
,	,	PUNCTclause
en effet	en effet	ADV
,	,	PUNCTclause
comme	comme	ADP
l'	le	DET
avait	avoir	AUX
dit	dire	VERB
son	son	DET
valet de chambre	valet de chambre	NOUN
,	,	PUNCTclause
était	être	AUX
à	à	ADP
sa	son	DET
petite	petit	ADJ
maison	maison	NOUN
de	de	DET
la	le:PRON	PRON
Grange-Batelière	Grange-Batelière	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
D'abord	d'abord	ADV
tout	tout	ADJ
étourdi	étourdi	NOUN
de	de	DET
sa	son	AUX
scène	scène	NOUN
avec	avec	ADP
la	le	DET
comtesse	comte	NOUN
,	,	PUNCTclause
il	il	PRON
se	se	PRON
était	être	AUX
fait	faire	AUX
seller	seller	VERB
le	le	DET
cheval	cheval	NOUN
que	que	SCONJ
il	il	PRON
avait	avoir	AUX
essayé	essayer	VERB
une	un	DET
heure	heure	NOUN
avant	avant	ADJ
et	et	CCONJ
que	que	SCONJ
on	on	PRON
avait	avoir	VERB
rentré	rentrer	VERB
à	à	ADP
l'	le	DET
écurie	écurie	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Puis	puis	CCONJ
,	,	PUNCTclause
sautant	sauter	VERB
légèrement	légèrement	ADV
dessus	dessus	ADV
,	,	PUNCTclause
il	il	PRON
