# columns = TERM LEMMA POS PROB
# identifier = zola1891-08
# creator = Zola, Émile
# created = 1891
# isPartOf = L’argent
# title = VIII

↵↵↵	↵↵↵	PUNCTstruct
VIII	VIII	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ce	ce	PRON
fut	être	AUX
le	le	DET
1	1	NUM
er	er	NOUN
avril	avril	NOUN
que	que	SCONJ
l'	le	DET
Exposition	Exposition	PROPN
universelle	universel	ADJ
de	de	DET
1867	1867	NUM
ouvrit	ouvrir	NOUN
,	,	PUNCTclause
au milieu de	au milieu de	ADP
fêtes	fête	NOUN
,	,	PUNCTclause
avec	avec	ADP
un	un	DET
éclat	éclat	NOUN
triomphal	triomphal	ADJ
.	.	PUNCTsent
La	le	DET
grande	grand	ADJ
saison	saison	NOUN
de	de	DET
l'	le:PRON	PRON
empire	empirer	VERB
commençait	commencer	VERB
,	,	PUNCTclause
cette	ce	DET
saison	saison	NOUN
de	de	DET
gala	gala	NOUN
suprême	suprême	ADJ
,	,	PUNCTclause
qui	qui	PRON
allait	aller	VERB
faire	faire	AUX
de	de	DET
Paris	Paris	PROPN
l'	le	DET
auberge	auberge	NOUN
du	du	ADP_DET
monde	monde	NOUN
,	,	PUNCTclause
une	un	DET
auberge	auberge	NOUN
pavoisée	pavoisé	ADJ
,	,	PUNCTclause
pleine	plein	ADJ
de	de	DET
musiques	musiquer	VERB
et	et	CCONJ
de	de	DET
chants	chant	NOUN
,	,	PUNCTclause
où	où	ADV
l'on	on	PRON
mangeait	manger	VERB
,	,	PUNCTclause
où	où	ADV
l'on	on	PRON
forniquait	forniquer	VERB
dans	dans	ADP
toutes	tout	ADJ
les	le	DET
chambres	chambre	NOUN
.	.	PUNCTsent
Jamais	jamais	ADV
règne	régner	VERB
,	,	PUNCTclause
à	à	ADP
son	son	DET
apogée	apogée	NOUN
,	,	PUNCTclause
ne	ne	ADV
avait	avoir	AUX
convoqué	convoquer	VERB
les	le	DET
nations	nation	NOUN
à	à	ADP
une	un	DET
si	si	SCONJ
colossale	colossal	ADJ
ripaille	ripaille	NOUN
.	.	PUNCTsent
Vers	vers	ADP
les	le	DET
Tuileries	Tuileries	PROPN
flamboyantes	flamboyant	ADJ
,	,	PUNCTclause
dans	dans	ADP
une	un	DET
apothéose	apothéose	NOUN
de	de	DET
féerie	féerie	NOUN
,	,	PUNCTclause
le	le	DET
long	long	NOUN
défilé	défiler	VERB
des	un	DET
empereurs	empereur	NOUN
,	,	PUNCTclause
des	un	DET
rois	roi	NOUN
et	et	CCONJ
des	un	DET
princes	prince	NOUN
,	,	PUNCTclause
se	se	PRON
mettait	mettre	VERB
en	en	ADP
marche	marche	NOUN
,	,	PUNCTclause
des	un	DET
quatre	quatre	NUM
coins	coin	NOUN
de	de	DET
la	le	AUX
terre	terre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
ce	ce	PRON
fut	être	AUX
à	à	ADP
la	le	DET
même	même	ADJ
époque	époque	NOUN
,	,	PUNCTclause
quinze	quinze	NUM
jours	jour	NOUN
plus tard	plus tard	ADV
,	,	PUNCTclause
que	que	SCONJ
Saccard	Saccard	PROPN
inaugura	inaugurer	VERB
l'	le	DET
hôtel	hôtel	NOUN
monumental	monumental	ADJ
que	que	SCONJ
il	il	PRON
avait	avoir	AUX
voulu	vouloir	VERB
,	,	PUNCTclause
pour	pour	ADP
y	y	PRON
loger	loger	VERB
royalement	royalement	ADV
l'	le	DET
Universelle	universel	NOUN
.	.	PUNCTsent
Six	Six	NUM
mois	mois	NOUN
venaient	venir	VERB
de	de	DET
suffire	suffire	NOUN
,	,	PUNCTclause
on	on	PRON
avait	avoir	AUX
travaillé	travailler	VERB
jour	jour	NOUN
et	et	CCONJ
nuit	nuit	NOUN
,	,	PUNCTclause
sans	sans	ADP
perdre	perdre	VERB
une	un	DET
heure	heure	NOUN
,	,	PUNCTclause
faisant	faire	AUX
ce	ce	DET
miracle	miracle	NOUN
qui	qui	PRON
ne	ne	ADV
est	être	AUX
possible	possible	ADJ
que	que	SCONJ
à	à	ADP
Paris	Paris	PROPN
;	;	PUNCTclause
et	et	CCONJ
la	le	DET
façade	façade	NOUN
se	se	PRON
dressait	dresser	VERB
,	,	PUNCTclause
fleurie	fleuri	NOUN
de	de	DET
ornements	ornement	NOUN
,	,	PUNCTclause
tenant	tenir	VERB
du	du	ADP_DET
temple	temple	NOUN
et	et	CCONJ
du	du	ADP_DET
café-concert	café-concert	NOUN
,	,	PUNCTclause
une	un	DET
façade	façade	NOUN
dont	dont	PRON
le	le	DET
luxe	luxe	NOUN
étalé	étaler	VERB
arrêtait	arrêter	VERB
le	le	DET
monde	monde	NOUN
sur	sur	ADP
le	le	DET
trottoir	trottoir	NOUN
.	.	PUNCTsent
À	à	ADP
l'	le	DET
intérieur	intérieur	NOUN
,	,	PUNCTclause
ce	ce	PRON
était	être	AUX
une	un	DET
somptuosité	somptuosité	NOUN
,	,	PUNCTclause
les	le	DET
millions	million	NOUN
des	un	ADP_DET
caisses	caisse	NOUN
ruisselant	ruisseler	VERB
le long des	le long des	ADP
murs	mur	NOUN
.	.	PUNCTsent
Un	un	DET
escalier	escalier	NOUN
de	de	DET
honneur	honneur	NOUN
conduisait	conduire	VERB
à	à	ADP
la	le	DET
salle	salle	NOUN
du	du	ADP_DET
conseil	conseil	NOUN
,	,	PUNCTclause
rouge	rouge	NOUN
et	et	CCONJ
or	or	NOUN
,	,	PUNCTclause
