# columns = TERM LEMMA POS PROB
# identifier = dumas1845a-06
# creator = Dumas, Alexandre
# created = 1845
# isPartOf = Vingt ans après
# title = VI. D’Artagnan à quarante ans

↵↵↵	↵↵↵	PUNCTstruct
VI	VI	ADJ
.	.	PUNCTsent
de	de	DET
Artagnan	Artagnan	PROPN
à	à	ADP
quarante	quarante	NUM
ans	an	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Hélas	hélas	NOUN
!	!	PUNCTsent
depuis	depuis	ADP
l'	le	DET
époque	époque	NOUN
où	où	ADV
,	,	PUNCTclause
dans	dans	ADP
notre	notre	DET
roman	roman	NOUN
des	un	ADP_DET
Trois	Trois	NUM
Mousquetaires	mousquetaire	NOUN
,	,	PUNCTclause
nous	nous	PRON
avons	avoir	AUX
quitté	quitter	VERB
de	de	DET
Artagnan	Artagnan	PROPN
,	,	PUNCTclause
rue	rue	NOUN
des	un	ADP_DET
Fossoyeurs	fossoyeur	NOUN
,	,	PUNCTclause
12	12	NUM
,	,	PUNCTclause
il	il	PRON
se	se	PRON
était	être	AUX
passé	passé	ADP
bien	bien	ADV
des	un	ADP_DET
choses	choser	VERB
,	,	PUNCTclause
et	et	CCONJ
surtout	surtout	ADV
bien	bien	ADV
des	un	ADP_DET
années	année	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
de	de	DET
Artagnan	Artagnan	PROPN
ne	ne	ADV
avait	avoir	AUX
pas	pas	ADV
manqué	manquer	VERB
aux	au	ADP_DET
circonstances	circonstance	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
les	le	DET
circonstances	circonstance	NOUN
avaient	avoir	AUX
manqué	manquer	VERB
à	à	ADP
de	de	DET
Artagnan	Artagnan	PROPN
.	.	PUNCTsent
Tant	tant	ADV
que	que	SCONJ
ses	son	DET
amis	ami	NOUN
l'	le:PRON	PRON
avaient	avoir	AUX
entouré	entourer	VERB
,	,	PUNCTclause
de	de	DET
Artagnan	Artagnan	PROPN
était	être	AUX
resté	rester	VERB
dans	dans	ADP
sa	son	DET
jeunesse	jeunesse	NOUN
et	et	CCONJ
sa	son	DET
poésie	poésie	NOUN
;	;	PUNCTclause
ce	ce	PRON
était	être	AUX
une	un	PRON
de	de	DET
ces	ce	NOUN
natures	nature	ADJ
fines	fin	ADJ
et	et	CCONJ
ingénieuses	ingénieux	ADJ
qui	qui	PRON
se	se	PRON
assimilent	assimiler	VERB
facilement	facilement	ADV
les	le	DET
qualités	qualité	NOUN
des	un	ADP_DET
autres	autre	ADJ
.	.	PUNCTsent
Athos	Athos	PROPN
lui	lui	PRON
donnait	donner	VERB
de	de	DET
sa	son	AUX
grandeur	grandeur	NOUN
,	,	PUNCTclause
Porthos	Porthos	PROPN
de	de	DET
sa	son	AUX
verve	verve	VERB
,	,	PUNCTclause
Aramis	Aramis	PROPN
de	de	DET
son	son	NOUN
élégance	élégance	NOUN
.	.	PUNCTsent
Si	si	SCONJ
de	de	DET
Artagnan	Artagnan	PROPN
eût	avoir	AUX
continué	continuer	VERB
de	de	DET
vivre	vivre	NOUN
avec	avec	ADP
ces	ce	DET
trois	trois	NUM
hommes	homme	NOUN
,	,	PUNCTclause
il	il	PRON
fût	être	AUX
devenu	devenir	VERB
un	un	DET
homme	homme	NOUN
supérieur	supérieur	ADJ
.	.	PUNCTsent
Athos	Athos	PROPN
le	le:PRON	PRON
quitta	quitter	VERB
le	le	DET
premier	premier	ADJ
,	,	PUNCTclause
pour	pour	ADP
se	se	PRON
retirer	retirer	VERB
dans	dans	ADP
cette	ce	DET
petite	petit	ADJ
terre	terre	NOUN
dont	dont	PRON
il	il	PRON
avait	avoir	AUX
hérité	hériter	VERB
du côté de	du côté de	ADP
Blois	Blois	PROPN
;	;	PUNCTclause
Porthos	Porthos	PROPN
,	,	PUNCTclause
le	le	DET
second	second	NOUN
,	,	PUNCTclause
pour	pour	ADP
épouser	épouser	VERB
sa	son	DET
procureuse	procureur	ADJ
;	;	PUNCTclause
enfin	enfin	ADV
,	,	PUNCTclause
Aramis	Aramis	PROPN
,	,	PUNCTclause
le	le	DET
troisième	troisième	ADJ
,	,	PUNCTclause
pour	pour	ADP
entrer	entrer	VERB
définitivement	définitivement	ADV
dans	dans	ADP
les	le	DET
ordres	ordre	NOUN
et	et	CCONJ
se	se	PRON
faire	faire	AUX
abbé	abbé	NOUN
.	.	PUNCTsent
à partir de	à partir de	ADP
ce	ce	DET
moment	moment	NOUN
,	,	PUNCTclause
de	de	DET
Artagnan	Artagnan	PROPN
,	,	PUNCTclause
qui	qui	PRON
semblait	sembler	VERB
avoir	avoir	AUX
confondu	confondre	VERB
son	son	DET
avenir	avenir	NOUN
avec	avec	ADP
celui	celui	PRON
de	de	DET
ses	son	NOUN
trois	trois	NUM
amis	ami	NOUN
,	,	PUNCTclause
se	se	PRON
trouva	trouver	VERB
isolé	isoler	VERB
et	et	CCONJ
faible	faible	ADJ
,	,	PUNCTclause
sans	sans	ADP
courage	courage	NOUN
pour	pour	ADP
poursuivre	poursuivre	VERB
une	un	DET
carrière	carrier	NOUN
dans	dans	ADP
laquelle	laquelle	PRON
il	il	PRON
sentait	sentir	VERB
que	que	SCONJ
il	il	PRON
ne	ne	ADV
pouvait	pouvoir	VERB
devenir	devenir	VERB
quelque chose	quelque chose	PRON
que	que	ADV
à	à	ADP
la	le	DET
condition	condition	NOUN
que	que	SCONJ
chacun	chacun	PRON
de	de	DET
ses	son	NOUN
amis	ami	NOUN
lui	lui	PRON
céderait	céder	VERB
,	,	PUNCTclause
si	si	SCONJ
cela	cela	PRON
peut	pouvoir	VERB
se	se	PRON
dire	dire	VERB
,	,	PUNCTclause
une	un	DET
part	part	NOUN
du	du	ADP_DET
fluide	fluide	NOUN
électrique	électrique	ADJ
que	que	SCONJ
il	il	PRON
avait	avoir	AUX
reçu	recevoir	VERB
du	du	ADP_DET
ciel	ciel	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ainsi	ainsi	ADV
,	,	PUNCTclause
quoique	quoique	PRON
devenu	devenir	VERB
lieutenant	lieutenant	NOUN
de	de	DET
mousquetaires	mousquetaire	NOUN
,	,	PUNCTclause
de	de	DET
Artagnan	Artagnan	PROPN
ne	ne	ADV
se	se	PRON
en	en	ADP
trouva	trouver	VERB
que	que	SCONJ
plus	plus	ADV
isolé	isoler	VERB
;	;	PUNCTclause
il	il	PRON
ne	ne	ADV
était	être	AUX
pas	pas	ADV
de	de	DET
assez	assez	ADV
haute	haut	ADJ
naissance	naissance	NOUN
,	,	PUNCTclause
comme	comme	ADP
Athos	Athos	PROPN
,	,	PUNCTclause
pour que	pour que	SCONJ
les	le	DET
grandes	grand	ADJ
maisons	maison	NOUN
se	se	PRON
ouvrissent	ouvrir	VERB
devant	devant	ADP
lui	lui	PRON
;	;	PUNCTclause
il	il	PRON
ne	ne	ADV
était	être	AUX
pas	pas	ADV
assez	assez	ADV
vaniteux	vaniteux	ADJ
,	,	PUNCTclause
comme	comme	ADP
Porthos	Porthos	PROPN
,	,	PUNCTclause
pour	pour	ADP
faire	faire	AUX
croire	croire	VERB
que	que	SCONJ
il	il	PRON
voyait	voir	VERB
la	le	DET
haute	haut	ADJ
société	société	NOUN
;	;	PUNCTclause
il	il	PRON
ne	ne	ADV
était	être	AUX
pas	pas	ADV
assez	assez	ADV
gentilhomme	gentilhomme	ADJ
,	,	PUNCTclause
comme	comme	ADP
Aramis	Aramis	PROPN
,	,	PUNCTclause
pour	pour	ADP
se	se	PRON
maintenir	maintenir	VERB
dans	dans	ADP
son	son	DET
élégance	élégance	NOUN
native	natif	ADJ
,	,	PUNCTclause
en	en	ADP
tirant	tirer	VERB
son	son	DET
élégance	élégance	NOUN
de	de	DET
lui-même	lui-même	PRON
.	.	PUNCTsent
Quelque	quelque	DET
temps	temps	NOUN
le	le:PRON	PRON
souvenir	souvenir	DET
charmant	charmant	ADJ
de	de	DET
madame	madame	NOUN
Bonacieux	Bonacieux	PROPN
avait	avoir	AUX
imprimé	imprimer	VERB
à	à	ADP
l'	le	DET
esprit	esprit	NOUN
du	du	ADP_DET
jeune	jeune	ADJ
lieutenant	lieutenant	NOUN
une	un	DET
certaine	certain	ADJ
poésie	poésie	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
comme	comme	ADP
celui	celui	PRON
de	de	DET
toutes	tout	ADJ
les	le	DET
choses	choser	VERB
de	de	DET
ce	ce	NOUN
monde	monde	ADJ
,	,	PUNCTclause
ce	ce	PRON
souvenir	souvenir	VERB
périssable	périssable	ADJ
se	se	PRON
était	être	AUX
peu à peu	peu à peu	ADV
effacé	effacer	VERB
;	;	PUNCTclause
la	le	DET
vie	vie	NOUN
de	de	DET
garnison	garnison	NOUN
est	être	AUX
fatale	fatal	ADJ
,	,	PUNCTclause
même	même	ADV
aux	au	ADP_DET
organisations	organisation	NOUN
aristocratiques	aristocratique	ADJ
.	.	PUNCTsent
Des	un	ADP_DET
deux	deux	NUM
natures	nature	NOUN
opposées	opposer	VERB
qui	qui	PRON
composaient	composer	VERB
l'	le	DET
individualité	individualité	NOUN
de	de	DET
de	de	DET
Artagnan	Artagnan	PROPN
,	,	PUNCTclause
la	le	DET
nature	nature	NOUN
matérielle	matériel	ADJ
l'	le	DET
avait	avoir	AUX
peu à peu	peu à peu	ADV
emporté	emporter	VERB
,	,	PUNCTclause
et	et	CCONJ
tout	tout	ADJ
doucement	doucement	ADV
,	,	PUNCTclause
sans	sans	ADP
se	se	PRON
en	en	ADP
apercevoir	apercevoir	VERB
lui-même	lui-même	PRON
,	,	PUNCTclause
de	de	DET
Artagnan	Artagnan	PROPN
,	,	PUNCTclause
toujours	toujours	ADV
en	en	ADP
garnison	garnison	NOUN
,	,	PUNCTclause
toujours	toujours	ADV
au	au	ADP_DET
camp	camp	NOUN
,	,	PUNCTclause
toujours	toujours	ADV
à	à	ADP
cheval	cheval	NOUN
,	,	PUNCTclause
était	être	AUX
devenu	devenir	VERB
(	(	PUNCTclause
je	je	PRON
ne	ne	ADV
sais	savoir	VERB
comment	comment	ADV
cela	cela	PRON
se	se	PRON
appelait	appeler	VERB
à	à	ADP
cette	ce	DET
époque	époque	NOUN
)	)	PUNCTclause
ce	ce	PRON
que	que	SCONJ
on	on	PRON
appelle	appeler	VERB
de	de	DET
nos	nos	NOUN
jours	jour	ADP
un	un	DET
véritable	véritable	ADJ
troupier	troupier	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ce	ce	PRON
ne	ne	ADV
est	être	AUX
point	point	ADV
que	que	SCONJ
pour	pour	ADP
cela	cela	PRON
de	de	DET
Artagnan	Artagnan	PROPN
eût	avoir	AUX
perdu	perdu	NOUN
de	de	DET
sa	son	AUX
finesse	finesse	VERB
primitive	primitif	ADJ
;	;	PUNCTclause
non	non	INTJ
pas	pas	ADV
.	.	PUNCTsent
au contraire	au contraire	ADV
,	,	PUNCTclause
peut-être	peut-être	ADV
,	,	PUNCTclause
cette	ce	DET
finesse	finesse	NOUN
se	se	PRON
était	être	AUX
augmentée	augmenter	VERB
,	,	PUNCTclause
ou	ou	CCONJ
du	du	ADP_DET
moins	moins	ADV
paraissait	paraître	VERB
doublement	doublement	ADV
remarquable	remarquable	ADJ
sous	sous	ADP
une	un	DET
enveloppe	enveloppe	NOUN
un	un	DET
peu	peu	NOUN
grossière	grossier	ADJ
;	;	PUNCTclause
mais	mais	CCONJ
cette	ce	DET
finesse	finesse	NOUN
il	il	PRON
l'	le:PRON	PRON
avait	avoir	AUX
appliquée	appliquer	VERB
aux	au	ADP_DET
petites	petit	ADJ
et	et	CCONJ
non	non	INTJ
aux	au	ADP_DET
grandes	grand	ADJ
choses	choser	VERB
de	de	DET
la	le	DET
vie	vie	NOUN
;	;	PUNCTclause
au	au	ADP_DET
bien-être	bien-être	NOUN
matériel	matériel	NOUN
,	,	PUNCTclause
au	au	ADP_DET
bien-être	bien-être	NOUN
comme	comme	ADP
les	le	DET
soldats	soldat	NOUN
l'	le:PRON	PRON
entendent	entendre	VERB
,	,	PUNCTclause
c'est-à-dire	c'est-à-dire	CCONJ
à	à	ADP
avoir	avoir	VERB
bon	bon	DET
gîte	gîte	NOUN
,	,	PUNCTclause
bonne	bon	ADJ
table	table	NOUN
,	,	PUNCTclause
bonne	bon	ADJ
hôtesse	hôtesse	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
de	de	DET
