# columns = TERM LEMMA POS
# identifier = dumas1852a-10
# creator = Dumas, Alexandre
# created = 1852
# isPartOf = Conscience l’innocent
# title = X. Le tirage

↵↵↵	↵↵↵	PUNCTstruct
X.	X.	PROPN
Le	Le	PROPN
tirage	tirage	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
était	être	AUX
dix	dix	NUM
heures	heure	NOUN
et	et	CCONJ
demie	demi	NOUN
,	,	PUNCTclause
le	le	DET
tirage	tirage	NOUN
devait	devoir	VERB
commencer	commencer	VERB
à	à	ADP
onze	onze	NUM
heures	heure	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
comme	comme	SCONJ
les	le	DET
villages	village	NOUN
du	du	ADP_DET
canton	canton	NOUN
de	de	ADP
Villers-Cotterêts	Villers-Cotterêts	PROPN
et	et	CCONJ
Villers-Cotterêts	Villers-Cotterêts	PROPN
lui-même	lui-même	PRON
ne	ne	ADV
tiraient	tirer	VERB
que	que	ADV
par	par	ADP
lettre	lettre	NOUN
alphabétique	alphabétique	ADJ
,	,	PUNCTclause
Haramont	Haramont	PROPN
ne	ne	ADV
venait	venir	VERB
que	que	SCONJ
le	le	DET
troisième	troisième	ADJ
ou	ou	CCONJ
4e	4e	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Haramont	Haramont	PROPN
ne	ne	ADV
tirerait	tirer	VERB
donc	donc	ADV
que	que	ADV
à	à	ADP
midi	midi	NOUN
ou	ou	CCONJ
une	un	DET
heure	heure	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Cela	cela	PRON
donnait	donner	VERB
le	le	DET
temps	temps	NOUN
à	à	ADP
Conscience	Conscience	NOUN
de	de	ADP
reconduire	reconduire	VERB
Mariette	Mariette	PROPN
jusque	jusque	ADP
au	au	ADP_DET
village	village	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Hélas	hélas	INTJ
!	!	PUNCTsent
le	le	DET
pauvre	pauvre	NOUN
enfant	enfant	NOUN
sentait	sentir	VERB
que	que	SCONJ
il	il	PRON
avait	avoir	AUX
si	si	ADV
peu de	peu de	DET
temps	temps	NOUN
à	à	ADP
rester	rester	VERB
avec	avec	ADP
elle	elle	PRON
,	,	PUNCTclause
que	que	SCONJ
il	il	PRON
désirait	désirer	VERB
ne	ne	ADV
pas	pas	ADV
perdre	perdre	VERB
une	un	DET
minute	minute	NOUN
de	de	ADP
ce	ce	DET
temps	temps	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Puis	puis	CCONJ
il	il	PRON
lui	lui	PRON
semblait	sembler	VERB
avoir	avoir	VERB
mal	mal	ADV
embrassé	embrasser	VERB
sa	son	DET
mère	mère	NOUN
Madeleine	Madeleine	PROPN
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
avait	avoir	VERB
besoin	besoin	NOUN
de	de	ADP
l'	le:PRON	PRON
embrasser	embrasser	VERB
mieux	mieux	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Les	le	DET
deux	deux	NUM
enfants	enfant	NOUN
se	se	PRON
mirent	mettre	VERB
donc	donc	ADV
en	en	ADP
chemin	chemin	NOUN
à	à	ADP
pied	pied	NOUN
,	,	PUNCTclause
côte à côte	côte à côte	ADV
,	,	PUNCTclause
à travers	à travers	ADP
le	le	DET
parc	parc	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
il y a	il y a	VERB
dans	dans	ADP
le	le	DET
jardin	jardin	NOUN
de	de	ADP
l'	le	DET
inspecteur	inspecteur	NOUN
une	un	DET
porte	porte	NOUN
qui	qui	PRON
donnait	donner	VERB
sur	sur	ADP
ce	ce	DET
parc	parc	NOUN
,	,	PUNCTclause
ce	ce	PRON
qui	qui	PRON
les	le:PRON	PRON
avait	avoir	AUX
dispensés	dispenser	VERB
de	de	ADP
passer	passer	VERB
par	par	ADP
la	le	DET
ville	ville	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ils	ils	PRON
marchaient	marcher	VERB
à	à	ADP
pied	pied	NOUN
;	;	PUNCTclause
Bernard	Bernard	PROPN
,	,	PUNCTclause
qui	qui	PRON
savait	savoir	VERB
le	le	DET
chemin	chemin	NOUN
mieux	mieux	ADV
que	que	SCONJ
le	le	DET
facteur	facteur	NOUN
de	de	ADP
la	le	DET
poste	poste	NOUN
,	,	PUNCTclause
marchait	marcher	VERB
devant	devant	ADP
eux	eux	PRON
,	,	PUNCTclause
se	se	PRON
retournant	retourner	VERB
de temps en temps	de temps en temps	ADV
,	,	PUNCTclause
non	non	ADV
pour	pour	ADP
se	se	PRON
assurer	assurer	VERB
si	si	SCONJ
les	le	DET
enfants	enfant	NOUN
le	le:PRON	PRON
suivaient	suivre	VERB
,	,	PUNCTclause
son	son	DET
instinct	instinct	NOUN
le	le:PRON	PRON
