# columns = TERM LEMMA POS
# identifier = dumas1865-105
# creator = Dumas, Alexandre
# created = 1865
# isPartOf = La San Felice
# title = CV. Les nouvelles.

↵↵↵	↵↵↵	PUNCTstruct
		TOKEN
.	.	PUNCTsent
Les	le	DET
nouvelles	nouveau	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Quoique	quoique	SCONJ
le	le	DET
roi	roi	NOUN
Ferdinand	Ferdinand	PROPN
eût	avoir	AUX
mis	mettre	VERB
,	,	PUNCTclause
comme	comme	ADP
nous	nous	PRON
l'	le:PRON	PRON
avons	avoir	AUX
dit	dire	VERB
,	,	PUNCTclause
moins	moins	ADV
de	de	ADP
empressement	empressement	NOUN
à	à	ADP
réorganiser	réorganiser	VERB
son	son	DET
ministère	ministère	NOUN
que	que	SCONJ
sa	son	DET
partie	partie	NOUN
de	de	ADP
reversi	reversi	NOUN
,	,	PUNCTclause
au bout de	au bout de	ADP
deux	deux	NUM
ou	ou	CCONJ
trois	trois	NUM
jours	jour	NOUN
,	,	PUNCTclause
il	il	PRON
avait	avoir	AUX
établi	établir	VERB
quelque chose	quelque chose	PRON
qui	qui	PRON
ressemblait	ressembler	VERB
à	à	ADP
un	un	DET
Conseil d'État	Conseil d'État	NOUN
.	.	PUNCTsent
Il	il	PRON
avait	avoir	AUX
rendu	rendre	VERB
à	à	ADP
Ariola	Ariola	PROPN
,	,	PUNCTclause
disgracié	disgracier	VERB
d'abord	d'abord	ADV
,	,	PUNCTclause
son	son	DET
ministère	ministère	NOUN
de	de	ADP
la	le	DET
guerre	guerre	NOUN
,	,	PUNCTclause
car	car	CCONJ
il	il	PRON
avait	avoir	AUX
bien	bien	ADV
vite	vite	ADV
reconnu	reconnaître	VERB
que	que	SCONJ
les	le	DET
traîtres	traître	NOUN
étaient	être	AUX
ceux	ceux	PRON
qui	qui	PRON
lui	lui	PRON
avaient	avoir	AUX
conseillé	conseiller	VERB
la	le	DET
guerre	guerre	NOUN
,	,	PUNCTclause
et	et	CCONJ
non	non	ADV
ceux	ceux	PRON
qui	qui	PRON
l'	le:PRON	PRON
en	en	PRON
avaient	avoir	AUX
dissuadé	dissuader	VERB
.	.	PUNCTsent
Il	il	PRON
avait	avoir	AUX
nommé	nommer	VERB
le	le	DET
marquis	marquis	NOUN
de	de	ADP
Circello	Circello	PROPN
à	à	ADP
l'	le	DET
intérieur	intérieur	NOUN
,	,	PUNCTclause
et	et	CCONJ
le	le	DET
prince	prince	NOUN
de	de	ADP
Castelcicala	Castelcicala	PROPN
—	—	PUNCTclause
auquel	auquel	ADP_PRON
il	il	PRON
fallait	falloir	VERB
une	un	DET
compensation	compensation	NOUN
de	de	ADP
la	le	DET
perte	perte	NOUN
de	de	ADP
sa	son	DET
place	place	NOUN
de	de	ADP
ambassadeur	ambassadeur	NOUN
à	à	ADP
Londres	Londres	PROPN
et	et	CCONJ
de	de	ADP
membre	membre	NOUN
de	de	ADP
la	le	DET
junte	junte	NOUN
de	de	ADP
État	État	NOUN
à	à	ADP
Naples	Naples	PROPN
—	—	PUNCTclause
Ministre des Affaires étrangères	Ministre des Affaires étrangères	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
premier	premier	ADJ
qui	qui	PRON
apporta	apporter	VERB
à	à	ADP
Palerme	Palerme	PROPN
des	un	DET
nouvelles	nouvelle	NOUN
de	de	ADP
Naples	Naples	PROPN
fut	être	AUX
le	le	DET
vicaire	vicaire	NOUN
général	général	ADJ
prince	prince	NOUN
Pignatelli	Pignatelli	PROPN
.	.	PUNCTsent
Il	il	PRON
avait	avoir	VERB
,	,	PUNCTclause
nous	nous	PRON
l'	le:PRON	PRON
avons	avoir	AUX
dit	dire	VERB
,	,	PUNCTclause
pris	prendre	VERB
la	le	DET
fuite	fuite	NOUN
le	le	DET
même	même	ADV
soir	soir	NOUN
où	où	PRON
,	,	PUNCTclause
mis	mettre	VERB
en	en	ADP
demeure	demeure	NOUN
de	de	ADP
livrer	livrer	VERB
le	le	DET
trésor	trésor	NOUN
de	de	ADP
l'	le	DET
État	État	NOUN
à	à	ADP
la	le	DET
municipalité	municipalité	NOUN
et	et	CCONJ
de	de	ADP
se	se	PRON
démettre	démettre	VERB
de	de	ADP
ses	son	DET
pouvoirs	pouvoir	NOUN
aux	au	ADP_DET
mains	main	NOUN
des	un	ADP_DET
élus	élu	NOUN
,	,	PUNCTclause
il	il	PRON
avait	avoir	AUX
demandé	demander	VERB
douze	douze	NUM
heures	heure	NOUN
pour	pour	ADP
réfléchir	réfléchir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
prince	prince	NOUN
Pignatelli	Pignatelli	PROPN
fut	être	AUX
fort	fort	ADV
mal	mal	ADV
reçu	recevoir	VERB
du	du	ADP_DET
roi	roi	NOUN
et	et	CCONJ
surtout	surtout	ADV
de	de	ADP
la	le	DET
reine	reine	NOUN
.	.	PUNCTsent
Le	le	DET
roi	roi	NOUN
lui	lui	PRON
avait	avoir	AUX
recommandé	recommander	VERB
de	de	ADP
ne	ne	ADV
traiter	traiter	VERB
à	à	ADP
aucun	aucun	DET
prix	prix	NOUN
avec	avec	ADP
les	le	DET
Français	Français	NOUN
et	et	CCONJ
les	le	DET
rebelles	rebelle	NOUN
,	,	PUNCTclause
ce	ce	PRON
qui	qui	PRON
,	,	PUNCTclause
à	à	ADP
ses	son	DET
yeux	œil	NOUN
,	,	PUNCTclause
était	être	AUX
tout	tout	ADV
un	un	DET
,	,	PUNCTclause
et	et	CCONJ
cependant	cependant	ADV
il	il	PRON
avait	avoir	AUX
signé	signer	VERB
la	le	DET
trêve	trêve	NOUN
de	de	ADP
Sparanisi	Sparanisi	PROPN
;	;	PUNCTclause
la	le	DET
reine	reine	NOUN
lui	lui	PRON
avait	avoir	AUX
ordonné	ordonner	VERB
de	de	ADP
brûler	brûler	VERB
Naples	Naples	PROPN
en	en	ADP
la	le	DET
quittant	quitter	VERB
et	et	CCONJ
de	de	ADP
tout	tout	PRON
égorger	égorger	VERB
,	,	PUNCTclause
à	à	ADP
partir	partir	VERB
des	un	ADP_DET
notaires	notaire	NOUN
et	et	CCONJ
au-dessus	au-dessus	ADV
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
ne	ne	ADV
avait	avoir	VERB
pas	pas	ADV
incendié	incendier	VERB
le	le	DET
plus	plus	ADV
petit	petit	ADJ
palais	palais	NOUN
,	,	PUNCTclause
égorgé	égorger	VERB
le	le	DET
moindre	moindre	ADJ
patriote	patriote	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
prince	prince	NOUN
Pignatelli	Pignatelli	PROPN
fut	être	AUX
exilé	exiler	VERB
à	à	ADP
Castanisetta	Castanisetta	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Successivement	successivement	ADV
,	,	PUNCTclause
et	et	CCONJ
par	par	ADP
des	un	DET
voies	voie	NOUN
diverses	divers	ADJ
,	,	PUNCTclause
on	on	PRON
apprit	apprendre	VERB
l'	le	DET
émeute	émeute	NOUN
contre	contre	ADP
Mack	Mack	PROPN
et	et	CCONJ
la	le	DET
protection	protection	NOUN
que	que	PRON
celui	celui	PRON
avait	avoir	AUX
trouvée	trouver	VERB
sous	sous	ADP
la	le	DET
tente	tente	NOUN
du	du	ADP_DET
général	général	NOUN
français	français	ADJ
,	,	PUNCTclause
la	le	DET
nomination	nomination	NOUN
de	de	ADP
Maliterno	Maliterno	PROPN
comme	comme	ADP
général	général	NOUN
du	du	ADP_DET
peuple	peuple	NOUN
,	,	PUNCTclause
l'	le	DET
adjonction	adjonction	NOUN
que	que	SCONJ
il	il	PRON
se	se	PRON
était	être	AUX
faite	faire	VERB
de	de	ADP
Rocca-Romana	Rocca-Romana	PROPN
comme	comme	ADP
lieutenant	lieutenant	NOUN
,	,	PUNCTclause
et	et	CCONJ
enfin	enfin	ADV
la	le	DET
marche	marche	NOUN
toujours	toujours	ADV
plus	plus	ADV
rapprochée	rapprocher	VERB
des	un	DET
Français	Français	NOUN
sur	sur	ADP
Naples	Naples	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Enfin	enfin	ADV
,	,	PUNCTclause
un	un	DET
matin	matin	NOUN
,	,	PUNCTclause
par	par	ADP
une	un	DET
tartane	tartane	NOUN
de	de	ADP
Castellamare	Castellamare	PROPN
,	,	PUNCTclause
après	après	ADP
trois	trois	NUM
jours	jour	NOUN
et	et	CCONJ
demi	demi	ADJ
de	de	ADP
traversée	traversée	NOUN
,	,	PUNCTclause
un	un	DET
homme	homme	NOUN
aborda	aborder	VERB
à	à	ADP
Palerme	Palerme	PROPN
,	,	PUNCTclause
se	se	PRON
disant	dire	VERB
porteur	porteur	NOUN
des	un	ADP_DET
nouvelles	nouvelle	NOUN
les	le	DET
plus	plus	ADV
importantes	important	ADJ
.	.	PUNCTsent
Il	il	PRON
avait	avoir	AUX
,	,	PUNCTclause
disait	dire	VERB
il	il	PRON
,	,	PUNCTclause
échappé	échapper	VERB
par	par	ADP
miracle	miracle	NOUN
aux	au	ADP_DET
jacobins	jacobin	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
montrant	montrer	VERB
ses	son	DET
poignets	poignet	NOUN
meurtris	meurtrir	VERB
par	par	ADP
les	le	DET
cordes	corde	NOUN
qui	qui	PRON
l'	le:PRON	PRON
avaient	avoir	AUX
lié	lier	VERB
,	,	PUNCTclause
il	il	PRON
demandait	demander	VERB
à	à	ADP
parler	parler	VERB
au	au	ADP_DET
roi	roi	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
roi	roi	NOUN
,	,	PUNCTclause
prévenu	prévenir	VERB
,	,	PUNCTclause
fit	faire	AUX
demander	demander	VERB
qui	qui	PRON
il	il	PRON
était	être	AUX
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
répondit	répondre	VERB
que	que	SCONJ
il	il	PRON
se	se	PRON
nommait	nommer	VERB
Roberto	Roberto	PROPN
Brandi	Brandi	PROPN
et	et	CCONJ
était	être	AUX
gouverneur	gouverneur	NOUN
du	du	ADP_DET
château	château	NOUN
Saint-Elme	Saint-Elme	PROPN
.	.	PUNCTsent
