# columns = TERM LEMMA POS
# identifier = dumas1845c-39
# creator = Dumas, Alexandre
# created = 1845
# isPartOf = La Reine Margot
# title = VIII. Projets de vengeance

↵↵↵	↵↵↵	PUNCTstruct
VIII	VIII	NOUN
.	.	PUNCTsent
Projets	projet	NOUN
de	de	ADP
vengeance	vengeance	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Henri	Henri	PROPN
avait	avoir	AUX
profité	profiter	VERB
du	du	ADP_DET
moment	moment	NOUN
de	de	ADP
répit	répit	NOUN
que	que	PRON
lui	lui	PRON
donnait	donner	VERB
l'	le	DET
interrogatoire	interrogatoire	NOUN
si	si	ADV
bien	bien	ADV
soutenu	soutenir	VERB
par	par	ADP
lui	lui	PRON
pour	pour	ADP
courir	courir	VERB
chez	chez	ADP
madame	madame	NOUN
de	de	ADP
Sauve	Sauve	PROPN
.	.	PUNCTsent
il y a	il y a	VERB
trouvé	trouver	VERB
Orthon	Orthon	PROPN
complètement	complètement	ADV
revenu	revenir	VERB
de	de	ADP
son	son	DET
évanouissement	évanouissement	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
Orthon	Orthon	PROPN
ne	ne	ADV
avait	avoir	AUX
pu	pouvoir	VERB
rien	rien	PRON
lui	lui	PRON
dire	dire	VERB
,	,	PUNCTclause
si	si	SCONJ
ce	ce	PRON
ne	ne	ADV
était	être	AUX
que	que	ADV
des	un	DET
hommes	homme	NOUN
avaient	avoir	AUX
fait	faire	AUX
irruption	irruption	NOUN
chez	chez	ADP
lui	lui	PRON
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
le	le	DET
chef	chef	NOUN
de	de	ADP
ces	ce	DET
hommes	homme	NOUN
l'	le:PRON	PRON
avait	avoir	AUX
frappé	frapper	VERB
de	de	ADP
un	un	DET
coup	coup	NOUN
de	de	ADP
pommeau	pommeau	NOUN
de	de	ADP
épée	épée	NOUN
qui	qui	PRON
l'	le:PRON	PRON
avait	avoir	AUX
étourdi	étourdi	NOUN
.	.	PUNCTsent
quant à	quant à	ADP
Orthon	Orthon	PROPN
,	,	PUNCTclause
on	on	PRON
ne	ne	ADV
se	se	PRON
en	en	ADP
était	être	AUX
pas	pas	ADV
inquiété	inquiéter	VERB
.	.	PUNCTsent
Catherine	Catherine	PROPN
l'	le	DET
avait	avoir	AUX
vu	voir	VERB
évanoui	évanouir	VERB
et	et	CCONJ
l'	le	DET
avait	avoir	AUX
cru	croire	VERB
mort	mort	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
comme	comme	SCONJ
il	il	PRON
était	être	AUX
revenu	revenir	VERB
à	à	ADP
lui	lui	PRON
dans	dans	ADP
l'	le	DET
intervalle	intervalle	NOUN
du	du	ADP_DET
départ	départ	NOUN
de	de	ADP
la	le	DET
reine mère	reine mère	NOUN
,	,	PUNCTclause
à	à	ADP
l'	le	DET
arrivée	arrivée	NOUN
du	du	ADP_DET
capitaine	capitaine	NOUN
des	un	ADP_DET
gardes	garde	NOUN
chargé	charger	VERB
de	de	ADP
déblayer	déblayer	VERB
la	le	DET
place	place	NOUN
,	,	PUNCTclause
il	il	PRON
se	se	PRON
était	être	AUX
réfugié	réfugier	VERB
chez	chez	ADP
madame	madame	NOUN
de	de	ADP
Sauve	Sauve	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Henri	Henri	PROPN
pria	prier	VERB
Charlotte	Charlotte	PROPN
de	de	ADP
garder	garder	VERB
le	le	DET
jeune	jeune	ADJ
homme	homme	NOUN
jusqu'à ce que	jusqu'à ce que	SCONJ
il	il	PRON
eût	avoir	VERB
des	un	DET
nouvelles	nouvelle	NOUN
de	de	ADP
De	De	PROPN
Mouy	Mouy	PROPN
,	,	PUNCTclause
qui	qui	PRON
,	,	PUNCTclause
du	du	ADP_DET
lieu	lieu	NOUN
où	où	PRON
il	il	PRON
se	se	PRON
était	être	AUX
retiré	retirer	VERB
,	,	PUNCTclause
ne	ne	ADV
pouvait	pouvoir	VERB
manque de	manque de	ADP
lui	lui	PRON
écrire	écrire	VERB
.	.	PUNCTsent
Alors	alors	ADV
il	il	PRON
enverrait	envoyer	VERB
Orthon	Orthon	PROPN
porter	porter	VERB
sa	son	DET
réponse	réponse	NOUN
à	à	ADP
de	de	DET
Mouy	Mouy	PROPN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
au lieu de	au lieu de	ADP
un	un	DET
homme	homme	NOUN
dévoué	dévoué	ADJ
,	,	PUNCTclause
il	il	PRON
pouvait	pouvoir	VERB
alors	alors	ADV
compter	compter	VERB
sur	sur	ADP
deux	deux	NUM
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ce	ce	PRON
plan	plan	NOUN
arrêté	arrêter	VERB
,	,	PUNCTclause
il	il	PRON
était	être	AUX
revenu	revenir	VERB
chez	chez	ADP
lui	lui	PRON
et	et	CCONJ
philosophait	philosopher	VERB
en	en	ADP
se	se	PRON
promenant	promener	VERB
de long en large	de long en large	ADV
,	,	PUNCTclause
lorsque	lorsque	SCONJ
tout	tout	PRON
à	à	ADP
coup	coup	NOUN
la	le	DET
porte	porte	NOUN
se	se	PRON
ouvrit	ouvrir	VERB
et	et	CCONJ
le	le	DET
roi	roi	NOUN
parut	paraître	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Votre	votre	DET
Majesté	Majesté	PROPN
!	!	PUNCTsent
se	se	PRON
