# columns = TERM LEMMA POS
# identifier = sand1836-15
# creator = Sand, George
# created = 1836
# isPartOf = Simon
# title = XIV

↵↵↵	↵↵↵	PUNCTstruct
XIV	XIV	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Elle	elle	PRON
alla	aller	VERB
un	un	DET
jour	jour	NOUN
frapper	frapper	VERB
à	à	ADP
la	le	DET
porte	porte	NOUN
de	de	ADP
M.	M.	PROPN
de	de	ADP
Fougères	Fougères	PROPN
et	et	CCONJ
pria	prier	VERB
son	son	DET
valet de chambre	valet de chambre	NOUN
de	de	ADP
lui	lui	PRON
dire	dire	VERB
que	que	SCONJ
elle	elle	PRON
désirait	désirer	VERB
lui	lui	PRON
parler	parler	VERB
,	,	PUNCTclause
si	si	SCONJ
il	il	PRON
en	en	PRON
avait	avoir	VERB
le	le	DET
temps	temps	NOUN
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
elle	elle	PRON
l'	le:PRON	PRON
attendait	attendre	VERB
dans	dans	ADP
son	son	DET
appartement	appartement	NOUN
;	;	PUNCTclause
car	car	CCONJ
elle	elle	PRON
ne	ne	ADV
entrait	entrer	VERB
jamais	jamais	ADV
dans	dans	ADP
celui	celui	PRON
de	de	ADP
M.	M.	PROPN
de	de	ADP
Fougères	Fougères	PROPN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
comme	comme	ADP
leurs	leur	DET
occupations	occupation	NOUN
ne	ne	ADV
avaient	avoir	VERB
rien	rien	PRON
de	de	ADP
commun	commun	ADJ
,	,	PUNCTclause
ils	ils	PRON
passaient	passer	VERB
quelquefois	quelquefois	ADV
plusieurs	plusieurs	DET
jours	jour	NOUN
sous	sous	ADP
le	le	DET
même	même	ADJ
toit	toit	NOUN
sans	sans	ADP
se	se	PRON
voir	voir	VERB
.	.	PUNCTsent
Un	un	DET
instant	instant	NOUN
après que	après que	SCONJ
elle	elle	PRON
fut	être	AUX
rentrée	rentrer	VERB
chez	chez	ADP
elle	elle	PRON
,	,	PUNCTclause
M.	M.	PROPN
de	de	ADP
Fougères	Fougères	PROPN
se	se	PRON
présenta	présenter	VERB
.	.	PUNCTsent
Il	il	PRON
avait	avoir	VERB
dans	dans	ADP
les	le	DET
manières	manière	NOUN
une	un	PRON
aménité	aménité	NOUN
charmante	charmant	ADJ
depuis	depuis	ADP
quelque	quelque	DET
temps	temps	NOUN
;	;	PUNCTclause
et	et	CCONJ
comme	comme	SCONJ
il	il	PRON
conservait	conserver	VERB
cette	ce	DET
bonne	bon	ADJ
disposition	disposition	NOUN
avec	avec	ADP
elle	elle	PRON
,	,	PUNCTclause
jusque	jusque	ADP
dans	dans	ADP
le	le	DET
tête-à-tête	tête-à-tête	NOUN
,	,	PUNCTclause
se	se	PRON
empressant	empresser	VERB
à	à	ADP
lui	lui	PRON
complaire	complaire	VERB
et	et	CCONJ
recherchant	rechercher	VERB
son	son	DET
approbation	approbation	NOUN
sur	sur	ADP
les	le	DET
choses	chose	NOUN
les	le	DET
plus	plus	ADV
frivoles	frivole	ADJ
,	,	PUNCTclause
elle	elle	PRON
avait	avoir	VERB
lieu	lieu	NOUN
de	de	ADP
penser	penser	VERB
que	que	SCONJ
il	il	PRON
avait	avoir	VERB
quelque	quelque	DET
concession	concession	NOUN
de	de	ADP
principes	principe	NOUN
à	à	ADP
lui	lui	PRON
demander	demander	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
Me	me	PRON
voici	voici	ADP
,	,	PUNCTclause
ma	mon	DET
chère	chère	NOUN
Fiamma	Fiamma	PROPN
,	,	PUNCTclause
lui	lui	PRON
dit	dire	VERB
il	il	PRON
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
suis	être	AUX
d'autant	d'autant	ADV
plus	plus	ADV
content	conter	VERB
de	de	ADP
avoir	avoir	AUX
été	être	AUX
appelé	appeler	VERB
par	par	ADP
vous	vous	PRON
que	que	PRON
je	je	PRON
avais	avoir	AUX
moi-même	moi-même	PRON
à	à	ADP
vous	vous	PRON
parler	parler	VERB
de	de	ADP
une	un	DET
affaire	affaire	NOUN
importante	important	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Écouterai	écouter	VERB
je	je	PRON
,	,	PUNCTclause
monsieur	monsieur	NOUN
,	,	PUNCTclause
les	le	DET
ordres	ordre	NOUN
que	que	ADV
vous	vous	PRON
avez	avoir	VERB
à	à	ADP
me	me	PRON
donner	donner	VERB
,	,	PUNCTclause
ou	ou	CCONJ
commencerai	commencer	VERB
je	je	PRON
par	par	ADP
vous	vous	PRON
présenter	présenter	VERB
ma	mon	DET
supplique	supplique	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Pourquoi	pourquoi	ADV
ne	ne	ADV
me	me	PRON
appelez	appeler	VERB
vous	vous	PRON
pas	pas	ADV
votre	votre	DET
père	père	NOUN
,	,	PUNCTclause
Fiamma	Fiamma	PROPN
?	?	PUNCTsent
Je	je	PRON
suis	être	AUX
affligé	affliger	VERB
de	de	ADP
la	le	DET
froideur	froideur	NOUN
de	de	ADP
vos	vos	DET
manières	manière	NOUN
avec	avec	ADP
moi	moi	PRON
.	.	PUNCTsent
Nous	nous	PRON
avons	avoir	AUX
été	être	AUX
longtemps	longtemps	ADV
sans	sans	ADP
nous	nous	PRON
connaître	connaître	VERB
;	;	PUNCTclause
mais	mais	CCONJ
aujourd'hui	aujourd'hui	ADV
que	que	SCONJ
nous	nous	PRON
avons	avoir	VERB
lieu	lieu	NOUN
de	de	ADP
nous	nous	PRON
estimer	estimer	VERB
réciproquement	réciproquement	ADV
,	,	PUNCTclause
un	un	DET
peu de	peu de	DET
affection	affection	NOUN
ne	ne	ADV
viendra	venir	VERB
elle	elle	PRON
pas	pas	ADV
de	de	ADP
vous	vous	PRON
à	à	ADP
moi	moi	PRON
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
vous	vous	PRON
appellerai	appeler	VERB
mon	mon	DET
père	père	NOUN
si	si	SCONJ
vous	vous	PRON
le	le:PRON	PRON
désirez	désirer	VERB
»	»	PUNCTclause
répondit	répondre	VERB
Fiamma	Fiamma	PROPN
assez	assez	ADV
froidement	froidement	ADV
;	;	PUNCTclause
car	car	CCONJ
,	,	PUNCTclause
à	à	ADP
voir	voir	VERB
le	le	DET
patelinage	patelinage	NOUN
de	de	ADP
ce	ce	DET
préambule	préambule	NOUN
,	,	PUNCTclause
elle	elle	PRON
craignait	craindre	VERB
une	un	DET
tentative	tentative	NOUN
de	de	ADP
empiétement	empiétement	NOUN
sur	sur	ADP
son	son	DET
indépendance	indépendance	NOUN
et	et	CCONJ
ne	ne	ADV
se	se	PRON
livrait	livrer	VERB
nullement	nullement	ADV
à	à	ADP
la	le	DET
flatterie	flatterie	NOUN
.	.	PUNCTsent
Elle	elle	PRON
entra	entrer	VERB
tout de suite	tout de suite	ADV
en	en	ADP
matière	matière	NOUN
et	et	CCONJ
demanda	demander	VERB
,	,	PUNCTclause
non	non	ADV
la	le	DET
permission	permission	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
l'	le	DET
approbation	approbation	NOUN
de	de	ADP
se	se	PRON
retirer	retirer	VERB
dans	dans	ADP
un	un	DET
couvent	couvent	NOUN
.	.	PUNCTsent
Fiamma	Fiamma	PROPN
avait	avoir	AUX
alors	alors	ADV
vingt-cinq	vingt-cinq	NUM
ans	an	NOUN
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
était	être	AUX
difficile	difficile	ADJ
de	de	ADP
lui	lui	PRON
imposer	imposer	VERB
d'autres	d'autre	PRON
lois	loi	NOUN
que	que	SCONJ
celles	celle	PRON
des	un	ADP_DET
convenances	convenance	NOUN
,	,	PUNCTclause
celles	celle	PRON
de	de	ADP
l'	le	DET
affection	affection	NOUN
ne	ne	ADV
existant	exister	VERB
pas	pas	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
M.	M.	PROPN
de	de	ADP
Fougères	Fougères	PROPN
montra	montrer	VERB
un	un	DET
peu de	peu de	DET
malaise	malaise	NOUN
.	.	PUNCTsent
«	«	PUNCTclause
Certainement	certainement	ADV
,	,	PUNCTclause
ma	mon	DET
chère	chère	NOUN
fille	fille	NOUN
,	,	PUNCTclause
dit	dire	VERB
il	il	PRON
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
puis	puis	CCONJ
ni	ni	CCONJ
ne	ne	ADV
veux	vouloir	VERB
me	me	PRON
opposer	opposer	VERB
à	à	ADP
aucune	aucun	DET
de	de	ADP
vos	vos	DET
volontés	volonté	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
si	si	SCONJ
,	,	PUNCTclause
par	par	ADP
tendresse	tendresse	NOUN
et	et	CCONJ
par	par	ADP
raison	raison	NOUN
,	,	PUNCTclause
je	je	PRON
puis	puis	CCONJ
obtenir	obtenir	VERB
de	de	ADP
vous	vous	PRON
que	que	SCONJ
