# columns = TERM LEMMA POS
# identifier = dumas1859b-165
# creator = Dumas, Alexandre
# created = 1859
# isPartOf = Les Mohicans de Paris
# title = CLXV. Communion d’âmes.

↵↵↵	↵↵↵	PUNCTstruct
Clxv	Clxv	PROPN
.	.	PUNCTsent
Communion	communion	NOUN
de	de	ADP
âmes	âme	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
regard	regard	NOUN
expressif	expressif	ADJ
que	que	SCONJ
M.	M.	NOUN
Sarranti	Sarranti	PROPN
avait	avoir	AUX
jeté	jeter	VERB
à	à	ADP
l'	le	DET
abbé	abbé	NOUN
Dominique	Dominique	PROPN
et	et	CCONJ
les	le	DET
quelques	quelque	DET
mots	mot	NOUN
que	que	SCONJ
il	il	PRON
avait	avoir	AUX
prononcés	prononcer	VERB
au moment de	au moment de	ADP
son	son	DET
arrestation	arrestation	NOUN
commandaient	commander	VERB
au	au	ADP_DET
pauvre	pauvre	NOUN
moine	moine	NOUN
une	un	DET
réserve	réserve	NOUN
absolue	absolu	ADJ
,	,	PUNCTclause
une	un	DET
suprême	suprême	ADJ
discrétion	discrétion	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
D'abord	d'abord	ADV
séparé	séparer	VERB
de	de	ADP
son	son	DET
père	père	NOUN
,	,	PUNCTclause
Dominique	Dominique	PROPN
se	se	PRON
était	être	AUX
élancé	élancer	VERB
dans	dans	ADP
la	le	DET
direction	direction	NOUN
ascendante	ascendant	ADJ
de	de	ADP
la	le	DET
rue	rue	NOUN
de	de	ADP
Rivoli	Rivoli	PROPN
.	.	PUNCTsent
Là	là	ADV
,	,	PUNCTclause
il	il	PRON
avait	avoir	AUX
retrouvé	retrouver	VERB
un	un	DET
groupe	groupe	NOUN
agité	agiter	VERB
,	,	PUNCTclause
tumultueux	tumultueux	ADJ
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
avait	avoir	AUX
compris	comprendre	VERB
que	que	SCONJ
ce	ce	DET
groupe	groupe	NOUN
qui	qui	PRON
se	se	PRON
acheminait	acheminer	VERB
rapidement	rapidement	ADV
vers	vers	ADP
les	le	DET
Tuileries	Tuileries	PROPN
avait	avoir	VERB
pour	pour	ADP
centre	centre	NOUN
M.	M.	NOUN
Sarranti	Sarranti	PROPN
.	.	PUNCTsent
En	en	ADP
conséquence	conséquence	NOUN
,	,	PUNCTclause
il	il	PRON
avait	avoir	AUX
suivi	suivre	VERB
,	,	PUNCTclause
mais	mais	CCONJ
de	de	ADP
loin	loin	ADV
et	et	CCONJ
comme	comme	ADP
prudemment	prudemment	ADV
il	il	PRON
devait	devoir	VERB
faire	faire	VERB
,	,	PUNCTclause
à cause de	à cause de	ADP
son	son	DET
costume	costume	NOUN
si	si	ADV
facile	facile	ADJ
à	à	ADP
reconnaître	reconnaître	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
en effet	en effet	ADV
,	,	PUNCTclause
Dominique	Dominique	PROPN
,	,	PUNCTclause
à	à	ADP
cette	ce	DET
époque	époque	NOUN
,	,	PUNCTclause
était	être	AUX
peut-être	peut-être	ADV
le	le	DET
seul	seul	ADJ
moine	moine	NOUN
dominicain	dominicain	ADJ
qui	qui	PRON
habitât	habiter	VERB
Paris	Paris	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Au	au	ADP_DET
coin	coin	NOUN
de	de	ADP
la	le	DET
rue	rue	NOUN
Saint-Nicaise	Saint-Nicaise	PROPN
,	,	PUNCTclause
le	le	DET
groupe	groupe	NOUN
se	se	PRON
arrêta	arrêter	VERB
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
du	du	ADP_DET
coin	coin	NOUN
de	de	ADP
la	le	DET
place	place	NOUN
des	un	ADP_DET
Pyramides	Pyramides	PROPN
,	,	PUNCTclause
où	où	PRON
il	il	PRON
était	être	AUX
arrivé	arriver	VERB
,	,	PUNCTclause
Dominique	Dominique	PROPN
vit	vivre	VERB
celui	celui	PRON
qui	qui	PRON
paraissait	paraître	VERB
le	le	DET
chef	chef	NOUN
des	un	ADP_DET
agents	agent	NOUN
appeler	appeler	VERB
un	un	DET
fiacre	fiacre	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
dans	dans	ADP
ce	ce	DET
fiacre	fiacre	NOUN
accouru	accourir	VERB
à	à	ADP
son	son	DET
appel	appel	NOUN
,	,	PUNCTclause
faire	faire	AUX
monter	monter	VERB
M.	M.	NOUN
Sarranti	Sarranti	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
suivit	suivre	VERB
le	le	DET
fiacre	fiacre	NOUN
,	,	PUNCTclause
traversa	traverser	VERB
le	le	DET
Carrousel	Carrousel	NOUN
aussi	aussi	ADV
rapidement	rapidement	ADV
que	que	SCONJ
le	le	DET
lui	lui	PRON
permettait	permettre	VERB
sa	son	DET
robe	robe	NOUN
,	,	PUNCTclause
et	et	CCONJ
arriva	arriver	VERB
au	au	ADP_DET
guichet	guichet	NOUN
du	du	ADP_DET
quai	quai	NOUN
des	un	ADP_DET
Tuileries	Tuileries	PROPN
au moment où	au moment où	ADP
le	le	DET
fiacre	fiacre	NOUN
tournait	tourner	VERB
le	le	DET
pont	pont	NOUN
Neuf	Neuf	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
était	être	AUX
évident	évident	ADJ
que	que	SCONJ
la	le	DET
voiture	voiture	NOUN
roulait	rouler	VERB
vers	vers	ADP
la	le	DET
préfecture	préfecture	NOUN
de	de	ADP
police	police	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
l'	le	DET
abbé	abbé	NOUN
Dominique	Dominique	PROPN
,	,	PUNCTclause
en	en	ADP
voyant	voir	VERB
le	le	DET
fiacre	fiacre	NOUN
disparaître	disparaître	VERB
au	au	ADP_DET
coin	coin	NOUN
du	du	ADP_DET
quai	quai	NOUN
des	un	ADP_DET
Lunettes	Lunettes	NOUN
,	,	PUNCTclause
sentit	sentir	VERB
tout	tout	ADV
le	le	DET
sang	sang	NOUN
de	de	ADP
ses	son	DET
veines	veine	NOUN
affluer	affluer	VERB
à	à	ADP
son	son	DET
cœur	cœur	NOUN
et	et	CCONJ
mille	mille	NUM
pensées	penser	VERB
sinistres	sinistre	ADJ
lui	lui	PRON
monter	monter	VERB
au	au	ADP_DET
cerveau	cerveau	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
rentra	rentrer	VERB
chez	chez	ADP
lui	lui	PRON
anéanti	anéantir	VERB
,	,	PUNCTclause
le	le	DET
corps	corps	NOUN
brisé	briser	VERB
,	,	PUNCTclause
l'	le	DET
âme	âme	NOUN
éperdue	éperdre	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Deux	Deux	NUM
jours	jour	NOUN
et	et	CCONJ
deux	deux	NUM
nuits	nuit	NOUN
passés	passer	VERB
en	en	ADP
diligence	diligence	NOUN
,	,	PUNCTclause
les	le	DET
émotions	émotion	NOUN
de	de	ADP
toute	toute	DET
nature	nature	NOUN
de	de	ADP
la	le	DET
journée	journée	NOUN
,	,	PUNCTclause
l'	le	DET
incertitude	incertitude	NOUN
des	un	ADP_DET
causes	cause	NOUN
qui	qui	PRON
motivaient	motiver	VERB
l'	le	DET
arrestation	arrestation	NOUN
de	de	ADP
son	son	DET
père	père	NOUN
,	,	PUNCTclause
ce	ce	PRON
était	être	AUX
là	là	ADV
plus	plus	ADV
que	que	SCONJ
il	il	PRON
ne	ne	ADV
en	en	PRON
fallait	falloir	VERB
pour	pour	ADP
courber	courber	VERB
le	le	DET
corps	corps	NOUN
le	le	DET
plus	plus	ADV
robuste	robuste	ADJ
,	,	PUNCTclause
pour	pour	ADP
dompter	dompter	VERB
l'	le	DET
âme	âme	NOUN
la	le	DET
plus	plus	ADV
vaillante	vaillant	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Quand	quand	SCONJ
il	il	PRON
arriva	arriver	VERB
dans	dans	ADP
sa	son	DET
chambre	chambre	NOUN
,	,	PUNCTclause
il	il	PRON
faisait	faire	VERB
déjà	déjà	ADV
nuit	nuit	NOUN
.	.	PUNCTsent
Il	il	PRON
se	se	PRON
jeta	jeter	VERB
sur	sur	ADP
son	son	DET
lit	lit	NOUN
sans	sans	ADP
prendre	prendre	VERB
de	de	ADP
nourriture	nourriture	NOUN
et	et	CCONJ
essaya	essayer	VERB
de	de	ADP
prendre	prendre	VERB
quelque	quelque	DET
repos	repos	NOUN
.	.	PUNCTsent
Mais	mais	CCONJ
mille	mille	NUM
fantômes	fantôme	NOUN
se	se	PRON
assirent	asseoir	VERB
à	à	ADP
son	son	DET
chevet	chevet	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
au bout de	au bout de	ADP
un	un	DET
quart d'heure	quart d'heure	NOUN
,	,	PUNCTclause
il	il	PRON
était	être	AUX
debout	debout	ADV
et	et	CCONJ
marchant	marcher	VERB
précipitamment	précipitamment	ADV
dans	dans	ADP
sa	son	DET
chambre	chambre	NOUN
,	,	PUNCTclause
comme	comme	SCONJ
si	si	SCONJ
,	,	PUNCTclause
pour	pour	ADP
dormir	dormir	VERB
,	,	PUNCTclause
il	il	PRON
avait	avoir	VERB
besoin	besoin	NOUN
de	de	ADP
briser	briser	VERB
le	le	DET
reste	reste	NOUN
de	de	ADP
force	force	NOUN
ou	ou	CCONJ
plutôt	plutôt	ADV
de	de	ADP
fièvre	fièvre	NOUN
qui	qui	PRON
brûlait	brûler	VERB
en	en	ADP
lui	lui	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
l'	le	DET
inquiétude	inquiétude	NOUN
le	le	DET
poussa	pousser	VERB
dehors	dehors	ADV
.	.	PUNCTsent
La	le	DET
nuit	nuit	NOUN
venue	venir	VERB
,	,	PUNCTclause
sa	son	DET
robe	robe	NOUN
,	,	PUNCTclause
perdue	perdre	VERB
dans	dans	ADP
l'	le	DET
obscurité	obscurité	NOUN
,	,	PUNCTclause
ne	ne	ADV
le	le	DET
désignait	désigner	VERB
plus	plus	ADV
à	à	ADP
l'	le	DET
attention	attention	NOUN
générale	général	ADJ
.	.	PUNCTsent
Il	il	PRON
se	se	PRON
achemina	acheminer	VERB
vers	vers	ADP
cette	ce	DET
préfecture	préfecture	NOUN
de	de	ADP
police	police	NOUN
où	où	PRON
se	se	PRON
était	être	AUX
en quelque sorte	en quelque sorte	ADV
englouti	engloutir	VERB
son	son	DET
père	père	NOUN
;	;	PUNCTclause
gouffre	gouffre	NOUN
